postać_A,postać_B,siła
COCO,WE CUT,1
DJANGO,SHEBA,1
DJANGO,WE CUT,1
MOGUY,SCHULTZ,1
MOGUY,SHEBA,1
MOGUY,WE CUT,1
SCHULTZ,SHEBA,1
SCHULTZ,WE CUT,1
SHEBA,WE CUT,1
BILLY CRASH,CALVIN CANDIE,1
BILLY CRASH,CALVIN CANDLE,1
BILLY CRASH,DJANGO,1
BILLY CRASH,PTE,1
BILLY CRASH,RODNEY,1
BILLY CRASH,TWO MEN,1
CALVIN CANDIE,PTE,1
CALVIN CANDIE,RODNEY,1
CALVIN CANDIE,TWO MEN,1
CALVIN CANDLE,PTE,1
CALVIN CANDLE,RODNEY,1
CALVIN CANDLE,TWO MEN,1
DJANGO,PTE,1
DJANGO,TWO MEN,1
PTE,RODNEY,1
PTE,TWO MEN,1
RODNEY,TWO MEN,1
CALVIN CANDIE,O V,1
CALVIN CANDIE,TRACKERS,1
DJANGO,O V,1
DJANGO,TRACKERS,1
MOGUY,O V,1
MOGUY,TRACKERS,1
O V,TRACKERS,1
ACE WOODY,AND DJANGO,1
ACE WOODY,BIG FRED,1
ACE WOODY,CALVIN CANDIE,1
ACE WOODY,CALVIN CANDLE,1
ACE WOODY,FRED,1
ACE WOODY,MOGUY,1
ACE WOODY,SIDNEY JAMES,1
AND DJANGO,BIG FRED,1
AND DJANGO,CALVIN CANDIE,1
AND DJANGO,CALVIN CANDLE,1
AND DJANGO,DJANGO,1
AND DJANGO,FRED,1
AND DJANGO,LARA LEE,1
AND DJANGO,MOGUY,1
AND DJANGO,SIDNEY JAMES,1
AND DJANGO,STEPHEN,1
AND DJANGO,TIMMY,1
BIG FRED,CALVIN CANDIE,1
BIG FRED,CALVIN CANDLE,1
BIG FRED,DJANGO,1
BIG FRED,FRED,1
BIG FRED,LARA LEE,1
BIG FRED,MOGUY,1
BIG FRED,SIDNEY JAMES,1
BIG FRED,STEPHEN,1
BIG FRED,TIMMY,1
CALVIN CANDIE,FRED,1
CALVIN CANDIE,SIDNEY JAMES,1
CALVIN CANDIE,TIMMY,1
CALVIN CANDLE,FRED,1
CALVIN CANDLE,MOGUY,1
CALVIN CANDLE,SIDNEY JAMES,1
CALVIN CANDLE,TIMMY,1
DJANGO,FRED,1
DJANGO,SIDNEY JAMES,1
FRED,LARA LEE,1
FRED,MOGUY,1
FRED,SIDNEY JAMES,1
FRED,STEPHEN,1
FRED,TIMMY,1
LARA LEE,SIDNEY JAMES,1
LARA LEE,TIMMY,1
MOGUY,SIDNEY JAMES,1
MOGUY,TIMMY,1
SIDNEY JAMES,STEPHEN,1
SIDNEY JAMES,TIMMY,1
BROOMHILDA,DOG,1
DOG,LARA LEE,1
BROOMHILDA,CALVIN CANDIE,1
BROOMHILDA,MOGUY,1
BROOMBILDA,BROOMHILDA,1
BROOMBILDA,STEPHEN,1
CALVIN CANDIE,SEEING HIM,1
CALVIN CANDLE,SEEING HIM,1
LARA LEE,SEEING HIM,1
SEEING HIM,STEPHEN,1
CALVIN CANDIE,CANDLE,1
CALVIN CANDLE,CANDLE,1
ACE WOODY,DJANGO SCREAMS,1
ACE WOODY,IJS,1
DJANGO,DJANGO SCREAMS,1
DJANGO,IJS,1
DJANGO SCREAMS,IJS,1
DJANGO SCREAMS,STEPHEN,1
DJANGO SCREAMS,TIMMY,1
IJS,STEPHEN,1
IJS,TIMMY,1
ACE WOODY,CHESTER,1
ACE WOODY,CHICKEN CHARLY,1
ACE WOODY,FLOYD,1
ACE WOODY,JANO,1
ACE WOODY,RODNEY,1
ACE WOODY,ROY,1
CHESTER,JANO,1
CHICKEN CHARLY,JANO,1
FLOYD,JANO,1
JANO,RODNEY,1
CHESTER,CORA,1
CHESTER,LARA LEE,1
CHICKEN CHARLY,CORA,1
CHICKEN CHARLY,LARA LEE,1
CORA,DJANGO,1
CORA,FLOYD,1
CORA,LARA LEE,1
CORA,RODNEY,1
CORA,ROY,1
FLOYD,LARA LEE,1
LARA LEE,RODNEY,1
LARA LEE,ROY,1
MARSHA,SHIRTLESS DJANGO,1
BILLY CRASH,BROOMHILDA,1
BILLY CRASH,CU BROOMHILDA,1
BROOMHILDA,CU BROOMHILDA,1
ACE WOODY,BROOMHILDA,1
ACE WOODY,BROWN,1
ACE WOODY,BROWN CODY,1
ACE WOODY,ICZ,1
ACE WOODY,STEPHEN MOGUY,1
BROOMHILDA,BROWN,1
BROOMHILDA,BROWN CODY,1
BROOMHILDA,ICZ,1
BROOMHILDA,STEPHEN MOGUY,1
BROWN,BROWN CODY,1
BROWN,DJANGO,1
BROWN,ICZ,1
BROWN,LARA LEE,1
BROWN,STEPHEN MOGUY,1
BROWN CODY,DJANGO,1
BROWN CODY,ICZ,1
BROWN CODY,LARA LEE,1
BROWN CODY,STEPHEN MOGUY,1
DJANGO,ICZ,1
DJANGO,STEPHEN MOGUY,1
ICZ,LARA LEE,1
ICZ,STEPHEN MOGUY,1
LARA LEE,STEPHEN MOGUY,1
